"rule_id","description","long_description","persona","portfolio","tables_to_join","joins","filters","select_columns","aggregations","conditional_aggregations","groupby_columns","having_conditions","orderby_columns","raw_where","is_distinct","usecase","dashboard_link","sector","banking_division"
"FORMX_A.3.3","3.3 Fixed Deposits",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Liabilities""}, ""product_level_2"": {""eq"": ""Deposits""}, ""product_level_3"": {""eq"": ""Fixed Deposit""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.3.3.1","3.3.1 From banks",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Liabilities""}, ""product_level_2"": {""eq"": ""Deposits""}, ""product_level_3"": {""eq"": ""Fixed Deposit""}}, ""counterparty"": {""Sector"": {""eq"": ""Bank""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.3.3.2","3.3.2 From others",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Liabilities""}, ""product_level_2"": {""eq"": ""Deposits""}, ""product_level_3"": {""eq"": ""Fixed Deposit""}}, ""counterparty"": {""Sector"": {""ne"": ""Bank""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.4.1","4.1 Borrowings from Banks in India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_1"": {""eq"": ""Liabilities""}, ""product_level_2"": {""eq"": ""Borrowings""}, ""product_level_3"": {""eq"": ""Banks in India""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.4.1.1","4.1.1 Reserve Bank of India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Borrowings""}, ""product_level_3"": {""eq"": ""Banks in India""}, ""product_level_4"": {""eq"": ""RBI""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.4.1.2","4.1.2 State Bank of India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Borrowings""}, ""product_level_3"": {""eq"": ""Banks in India""}, ""product_level_4"": {""eq"": ""SBI""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.4.1.3","4.1.3 Other commercial banks",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Borrowings""}, ""product_level_3"": {""eq"": ""Banks in India""}}, ""counterparty"": {""bank_type"": {""eq"": ""Commercial Bank""}, ""counterparty_type"": {""ne"": ""SBI""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.4.1.4","4.1.4 Co-operative banks",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Borrowings""}, ""product_level_3"": {""eq"": ""Banks in India""}}, ""counterparty"": {""bank_type"": {""eq"": ""Co-operative Bank""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.4.2","4.2 Borrowings from banks outside India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Borrowings""}, ""product_level_3"": {""eq"": ""Banks Outside India""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.4.3.1","4.3.1 National Bank for Agriculture and Rural Development",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Borrowings""}}, ""counterparty"": {""counterparty_type"": {""eq"": ""NABARD""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.4.3.2","4.3.2 Export-Import Bank of India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Borrowings""}}, ""counterparty"": {""counterparty_type"": {""eq"": ""EXIM Bank""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.4.3.3","4.3.3 Other financial institutions",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Borrowings""}, ""product_level_3"": {""eq"": ""Financial Institutions India""}}, ""counterparty"": {""counterparty_type"": {""ne"": ""EXIM Bank""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.4.4","4.4 Financial institutions outside India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""counterparty"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""counterparty_id""], ""left_table"": ""balance_data"", ""right_keys"": [""counterparty_id""], ""right_table"": ""counterparty""}, {""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Borrowings""}, ""product_level_3"": {""eq"": ""Financial Institutions Outside India""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.5.1","5.1 Bills payable in India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Other Liabilities""}, ""product_level_3"": {""eq"": ""Bills Payable India""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.5.1.1","5.1.1 Drawn by Indian offices",NULL,NULL,NULL,"[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_3"": {""eq"": ""Bills Payable India""}, ""product_level_4"": {""eq"": ""Indian Office""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.5.1.2","5.1.2 Drawn by foreign offices",NULL,NULL,NULL,"[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_3"": {""eq"": ""Bills Payable India""}, ""product_level_4"": {""eq"": ""Foreign Office""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.5.2","5.2 Bills payable outside India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Other Liabilities""}, ""product_level_3"": {""eq"": ""Bills Payable Outside India""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.5.3","5.3 Calls received in advance",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Other Liabilities""}, ""product_level_3"": {""eq"": ""Calls Received in Advance""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.5.4","5.4 Miscellaneous liabilities",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Other Liabilities""}, ""product_level_3"": {""eq"": ""Miscellaneous""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
"FORMX_A.6.1","6.1 Branch adjustments among offices in India",NULL,"REPORT_PREPARER","RISK_REPORTING","[""balance_data"", ""fx_rate""]","[{""join_type"": ""left"", ""left_keys"": [""currency""], ""left_table"": ""balance_data"", ""right_keys"": [""from_currency""], ""right_table"": ""fx_rate""}]","{""balance_data"": {""product_level_2"": {""eq"": ""Branch Adjustment""}, ""product_level_3"": {""eq"": ""India Offices""}}}","{""balance_data"": {""total_value"": {""alias"": ""total_value"", ""expression"": ""SUM(balance_data.amount * fx_rate.fx_rate)""}}}",NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,NULL
